北京,女,7
江苏,男,8
上海,男,18
北京,女,45
江苏,男,77
江苏,男,24
江苏,男,77
江苏,女,31
上海,女,71
江苏,男,57
上海,女,72
浙江,男,66
北京,男,19
江苏,男,9
浙江,男,72
北京,男,16
北京,女,61
北京,男,21
浙江,女,29
上海,男,34
浙江,女,26
江苏,女,30
江苏,女,65
浙江,女,66
北京,女,38
上海,男,37
上海,女,75
上海,女,36
上海,女,18
北京,女,76
上海,男,61
北京,女,29
江苏,女,46
北京,男,23
江苏,男,45
上海,女,59
浙江,男,16
江苏,男,43
江苏,男,6
北京,男,49
浙江,女,29
江苏,女,72
北京,男,8
上海,男,40
江苏,女,66
上海,男,74
江苏,女,48
江苏,女,37
浙江,女,16
江苏,女,15
北京,男,59
上海,男,42
上海,男,33
上海,女,7
江苏,男,32
北京,女,28
江苏,女,58
浙江,女,56
北京,男,51
江苏,女,25
江苏,男,58
浙江,男,34
江苏,女,72
浙江,男,40
江苏,女,44
北京,女,14
浙江,男,78
北京,男,46
北京,女,28
北京,男,8
上海,女,51
上海,男,55
浙江,女,8
北京,男,36
北京,女,14
上海,男,15
江苏,女,32
北京,男,50
上海,男,76
浙江,男,44
浙江,女,66
江苏,男,49
北京,女,39
上海,男,39
上海,女,38
江苏,男,10
上海,男,41
上海,男,5
江苏,男,39
浙江,男,74
江苏,女,58
江苏,男,67
浙江,男,13
浙江,女,66
江苏,男,6
北京,男,40
浙江,男,45
江苏,女,41
上海,男,53
北京,男,30
